frequency,V(BPF) (Phase),V(BPF) (Verst채rkung),V(BSF) (Phase),V(BSF) (Verst채rkung),V(HPF) (Phase),V(HPF) (Verst채rkung),V(LPF) (Phase),V(LPF) (Verst채rkung),
100,-90.3701,-23.997,179.634,-0.000308518,179.627,-48.0287,-0.366178,0.0340903,
102.329,-90.3785,-23.7954,179.625,-0.000316835,179.619,-47.6271,-0.374775,0.0357065,
104.713,-90.3871,-23.5937,179.616,-0.000325552,179.61,-47.2254,-0.383576,0.0373992,
107.152,-90.3959,-23.392,179.607,-0.000334685,179.601,-46.8236,-0.392587,0.039172,
109.648,-90.405,-23.1901,179.598,-0.000344258,179.593,-46.4218,-0.401814,0.0410288,
112.202,-90.4142,-22.9882,179.589,-0.000354289,179.584,-46.0198,-0.411262,0.0429735,
114.815,-90.4237,-22.7861,179.579,-0.000364803,179.574,-45.6178,-0.420936,0.0450103,
117.49,-90.4334,-22.584,179.569,-0.000375823,179.565,-45.2157,-0.430842,0.0471436,
120.226,-90.4434,-22.3817,179.559,-0.000387373,179.555,-44.8134,-0.440987,0.049378,
123.027,-90.4536,-22.1794,179.549,-0.000399479,179.545,-44.4111,-0.451375,0.0517183,
125.893,-90.464,-21.977,179.538,-0.00041217,179.535,-44.0086,-0.462014,0.0541695,
128.825,-90.4747,-21.7744,179.527,-0.000425473,179.524,-43.6061,-0.47291,0.0567371,
131.826,-90.4857,-21.5717,179.516,-0.00043942,179.513,-43.2034,-0.484069,0.0594264,
134.896,-90.497,-21.3689,179.504,-0.000454042,179.502,-42.8006,-0.495499,0.0622434,
138.038,-90.5085,-21.1659,179.493,-0.000469373,179.491,-42.3976,-0.507205,0.0651941,
141.254,-90.5203,-20.9628,179.481,-0.000485448,179.479,-41.9945,-0.519197,0.0682849,
144.544,-90.5324,-20.7596,179.468,-0.000502303,179.467,-41.5913,-0.53148,0.0715226,
147.911,-90.5448,-20.5562,179.456,-0.00051998,179.455,-41.1879,-0.544064,0.0749141,
151.356,-90.5575,-20.3527,179.443,-0.000538518,179.442,-40.7843,-0.556955,0.0784669,
154.882,-90.5705,-20.1489,179.43,-0.00055796,179.429,-40.3806,-0.570163,0.0821886,
158.489,-90.5839,-19.945,179.416,-0.000578354,179.416,-39.9767,-0.583695,0.0860875,
162.181,-90.5976,-19.741,179.402,-0.000599746,179.403,-39.5726,-0.59756,0.0901719,
165.959,-90.6116,-19.5367,179.388,-0.000622188,179.389,-39.1684,-0.611768,0.0944509,
169.824,-90.626,-19.3322,179.374,-0.000645734,179.375,-38.7639,-0.626328,0.0989338,
173.78,-90.6407,-19.1275,179.359,-0.000670439,179.36,-38.3592,-0.641249,0.10363,
177.828,-90.6558,-18.9226,179.343,-0.000696364,179.345,-37.9543,-0.656543,0.108551,
181.97,-90.6713,-18.7174,179.328,-0.000723571,179.33,-37.5491,-0.672218,0.113707,
186.209,-90.6872,-18.512,179.312,-0.000752127,179.314,-37.1437,-0.688287,0.119108,
190.546,-90.7035,-18.3064,179.295,-0.000782102,179.298,-36.738,-0.704759,0.124768,
194.984,-90.7202,-18.1004,179.278,-0.00081357,179.281,-36.3321,-0.721648,0.130699,
199.526,-90.7373,-17.8942,179.261,-0.00084661,179.264,-35.9259,-0.738964,0.136913,
204.174,-90.7549,-17.6877,179.243,-0.000881304,179.247,-35.5194,-0.756721,0.143425,
208.93,-90.7729,-17.4809,179.225,-0.000917741,179.229,-35.1126,-0.774931,0.150249,
213.796,-90.7914,-17.2737,179.206,-0.000956013,179.211,-34.7054,-0.793608,0.1574,
218.776,-90.8104,-17.0662,179.187,-0.000996218,179.192,-34.2979,-0.812766,0.164895,
223.872,-90.8299,-16.8584,179.167,-0.00103846,179.173,-33.8901,-0.83242,0.17275,
229.087,-90.8498,-16.6502,179.147,-0.00108285,179.153,-33.4818,-0.852584,0.180982,
234.423,-90.8703,-16.4415,179.126,-0.00112951,179.133,-33.0732,-0.873276,0.189611,
239.883,-90.8914,-16.2325,179.105,-0.00117856,179.112,-32.6642,-0.89451,0.198655,
245.471,-90.913,-16.023,179.083,-0.00123012,179.09,-32.2547,-0.916305,0.208136,
251.189,-90.9351,-15.8131,179.061,-0.00128435,179.068,-31.8447,-0.938679,0.218074,
257.04,-90.9579,-15.6026,179.038,-0.00134139,179.046,-31.4343,-0.96165,0.228493,
263.027,-90.9813,-15.3917,179.014,-0.0014014,179.022,-31.0234,-0.985238,0.239416,
269.153,-91.0053,-15.1803,178.99,-0.00146455,178.999,-30.612,-1.00946,0.250869,
275.423,-91.03,-14.9683,178.965,-0.00153102,178.974,-30.2,-1.03435,0.262877,
281.838,-91.0554,-14.7557,178.939,-0.00160099,178.949,-29.7874,-1.05992,0.275469,
288.403,-91.0814,-14.5425,178.913,-0.00167468,178.923,-29.3742,-1.08619,0.288674,
295.121,-91.1082,-14.3286,178.886,-0.00175231,178.896,-28.9603,-1.11319,0.302523,
301.995,-91.1358,-14.1141,178.858,-0.0018341,178.869,-28.5458,-1.14095,0.317047,
309.03,-91.1641,-13.8989,178.829,-0.0019203,178.841,-28.1306,-1.1695,0.332282,
316.228,-91.1932,-13.6829,178.8,-0.00201119,178.812,-27.7146,-1.19886,0.348263,
323.594,-91.2232,-13.4661,178.77,-0.00210704,178.782,-27.2978,-1.22906,0.365029,
331.131,-91.2541,-13.2485,178.738,-0.00220817,178.752,-26.8802,-1.26013,0.382619,
338.844,-91.2858,-13.0301,178.706,-0.0023149,178.72,-26.4618,-1.29212,0.401077,
346.737,-91.3185,-12.8107,178.673,-0.00242759,178.688,-26.0424,-1.32505,0.420445,
354.813,-91.3522,-12.5904,178.639,-0.00254662,178.654,-25.6221,-1.35897,0.440773,
363.078,-91.3869,-12.369,178.604,-0.0026724,178.62,-25.2007,-1.39391,0.462108,
371.535,-91.4227,-12.1467,178.568,-0.00280536,178.584,-24.7784,-1.42992,0.484506,
380.189,-91.4595,-11.9231,178.531,-0.00294599,178.547,-24.3548,-1.46704,0.50802,
389.045,-91.4976,-11.6985,178.492,-0.0030948,178.51,-23.9302,-1.50532,0.53271,
398.107,-91.5368,-11.4725,178.452,-0.00325235,178.471,-23.5042,-1.54481,0.558638,
407.38,-91.5773,-11.2453,178.411,-0.00341924,178.43,-23.077,-1.58556,0.58587,
416.869,-91.6191,-11.0167,178.369,-0.00359612,178.389,-22.6484,-1.62764,0.614477,
426.58,-91.6623,-10.7866,178.325,-0.0037837,178.346,-22.2183,-1.67111,0.644532,
436.516,-91.707,-10.5551,178.28,-0.00398276,178.301,-21.7868,-1.71603,0.676114,
446.684,-91.7531,-10.3219,178.234,-0.00419414,178.255,-21.3536,-1.76247,0.709306,
457.088,-91.8009,-10.087,178.185,-0.00441876,178.208,-20.9187,-1.81051,0.744198,
467.735,-91.8503,-9.85029,178.135,-0.00465762,178.159,-20.482,-1.86022,0.780883,
478.63,-91.9015,-9.61172,178.083,-0.00491182,178.108,-20.0434,-1.91171,0.819463,
489.779,-91.9545,-9.37114,178.03,-0.00518257,178.055,-19.6029,-1.96506,0.860042,
501.187,-92.0096,-9.12845,177.974,-0.00547119,178,-19.1602,-2.02038,0.902736,
512.861,-92.0666,-8.88352,177.916,-0.00577913,177.944,-18.7153,-2.07776,0.947665,
524.807,-92.1259,-8.63623,177.856,-0.00610801,177.885,-18.268,-2.13735,0.994959,
537.032,-92.1875,-8.38644,177.793,-0.0064596,177.823,-17.8182,-2.19925,1.04476,
549.541,-92.2515,-8.13399,177.728,-0.00683587,177.76,-17.3657,-2.26362,1.0972,
562.341,-92.3182,-7.87874,177.661,-0.00723901,177.693,-16.9105,-2.3306,1.15246,
575.44,-92.3876,-7.6205,177.59,-0.00767143,177.624,-16.4523,-2.40036,1.2107,
588.844,-92.46,-7.35911,177.517,-0.00813586,177.552,-15.9909,-2.47308,1.27209,
602.56,-92.5355,-7.09436,177.44,-0.00863532,177.477,-15.5261,-2.54896,1.33685,
616.595,-92.6144,-6.82605,177.36,-0.00917321,177.398,-15.0578,-2.62822,1.40516,
630.957,-92.6969,-6.55394,177.276,-0.00975335,177.316,-14.5857,-2.71109,1.47728,
645.654,-92.7832,-6.2778,177.188,-0.01038,177.23,-14.1096,-2.79784,1.55342,
660.693,-92.8738,-5.99736,177.096,-0.0110581,177.14,-13.6291,-2.88875,1.63387,
676.083,-92.9688,-5.71233,177,-0.0117932,177.045,-13.1441,-2.98416,1.71891,
691.831,-93.0686,-5.4224,176.898,-0.0125915,176.946,-12.6542,-3.08441,1.80884,
707.946,-93.1737,-5.12724,176.791,-0.0134601,176.841,-12.159,-3.1899,1.904,
724.436,-93.2845,-4.82649,176.678,-0.0144075,176.731,-11.6583,-3.30108,2.00476,
741.31,-93.4014,-4.51974,176.559,-0.0154429,176.614,-11.1515,-3.41843,2.11152,
758.578,-93.5251,-4.20655,176.433,-0.0165774,176.491,-10.6384,-3.54253,2.22471,
776.247,-93.6561,-3.88645,176.3,-0.0178237,176.36,-10.1183,-3.67399,2.34481,
794.328,-93.7952,-3.55892,176.158,-0.0191966,176.222,-9.59074,-3.81352,2.47235,
812.831,-93.9431,-3.22338,176.007,-0.0207135,176.074,-9.05521,-3.96194,2.6079,
831.764,-94.1009,-2.87919,175.846,-0.0223949,175.917,-8.51102,-4.12016,2.7521,
851.138,-94.2695,-2.52563,175.673,-0.0242651,175.749,-7.95747,-4.28924,2.90566,
870.964,-94.4501,-2.16194,175.489,-0.026353,175.568,-7.39379,-4.4704,3.06937,
891.251,-94.6443,-1.78722,175.29,-0.0286934,175.375,-6.81908,-4.66504,3.24409,
912.011,-94.8535,-1.4005,175.076,-0.0313283,175.166,-6.23237,-4.87479,3.43082,
933.254,-95.0798,-1.00068,174.845,-0.0343087,174.94,-5.63256,-5.10158,3.63065,
954.993,-95.3253,-0.586508,174.593,-0.0376975,174.695,-5.01839,-5.34766,3.84483,
977.237,-95.5928,-0.156574,174.319,-0.0415724,174.428,-4.38847,-5.61571,4.07478,
1000,-95.8854,0.290734,174.019,-0.0460304,174.136,-3.74117,-5.90892,4.32209,
1023.29,-96.2071,0.757263,173.69,-0.0511944,173.815,-3.07466,-6.23115,4.58864,
1047.13,-96.5624,1.24515,173.325,-0.0572211,173.46,-2.38678,-6.58709,4.87653,
1071.52,-96.9572,1.75686,172.92,-0.0643137,173.066,-1.67508,-6.98249,5.18826,
1096.48,-97.3986,2.2953,172.466,-0.0727386,172.625,-0.936652,-7.4245,5.52671,
1122.02,-97.8956,2.86389,171.956,-0.0828509,172.129,-0.168079,-7.92209,5.89531,
1148.15,-98.4596,3.46669,171.376,-0.0951327,171.565,0.634704,-8.48669,6.29812,
1174.9,-99.1053,4.10857,170.712,-0.110251,170.92,1.47658,-9.13307,6.74002,
1202.26,-99.8522,4.79547,169.943,-0.129149,170.174,2.36346,-9.88066,7.22694,
1230.27,-100.726,5.53466,169.043,-0.153195,169.3,3.30263,-10.7555,7.76614,
1258.93,-101.763,6.33515,167.974,-0.184439,168.264,4.3031,-11.7933,8.36665,
1288.25,-103.014,7.20832,166.685,-0.226047,167.014,5.37625,-13.0441,9.03983,
1318.26,-104.549,8.16863,165.101,-0.283125,165.479,6.53655,-14.5807,9.80017,
1348.96,-106.48,9.23474,163.108,-0.364315,163.549,7.80264,-16.5118,10.6663,
1380.38,-108.974,10.4308,160.529,-0.485126,161.056,9.19866,-19.0069,11.6624,
1412.54,-112.309,11.7877,157.076,-0.675508,157.721,10.7555,-22.343,12.8193,
1445.44,-116.961,13.3425,152.249,-0.998821,153.07,12.5103,-26.9956,14.1741,
1479.11,-123.787,15.1291,145.136,-1.60561,146.245,14.4969,-33.8223,15.7607,
1513.56,-134.36,17.1308,134.007,-2.91121,135.673,16.6986,-44.3959,17.5625,
1548.82,-151.197,19.1061,115.653,-6.33025,118.837,18.8739,-61.234,19.3378,
1584.89,-175.665,20.2431,71.8113,-21.7454,94.3698,20.2108,-85.7024,20.2748,
1621.81,158.209,19.6394,-107.123,-8.57765,68.2441,19.8071,-111.83,19.4711,
1659.59,138.737,17.8203,-129.048,-3.60873,48.7732,18.188,-131.302,17.4521,
1698.24,126.381,15.7798,-142.13,-1.87999,36.4178,16.3474,-143.66,15.2116,
1737.8,118.523,13.9139,-150.335,-1.12207,28.5606,14.6815,-151.519,13.1457,
1778.28,113.265,12.2844,-155.795,-0.735379,23.3034,13.252,-156.778,11.3163,
1819.7,109.554,10.8657,-159.636,-0.515078,19.594,12.0332,-160.489,9.69758,
1862.09,106.815,9.61964,-162.468,-0.378847,16.8558,10.9871,-163.229,8.25158,
1905.46,104.717,8.51309,-164.633,-0.289179,14.7589,10.0806,-165.328,6.94508,
1949.84,103.062,7.51974,-166.34,-0.227214,13.1046,9.28717,-166.985,5.75177,
1995.26,101.724,6.61926,-167.719,-0.182697,11.7672,8.58664,-168.324,4.65132,
2041.74,100.62,5.7959,-168.855,-0.149687,10.664,7.96324,-169.429,3.62801,
2089.3,99.6929,5.03736,-169.807,-0.124559,9.73838,7.40465,-170.357,2.66952,
2137.96,98.9039,4.33391,-170.618,-0.105005,8.95046,6.90115,-171.147,1.76611,
2187.76,98.2237,3.67774,-171.315,-0.0895001,8.27138,6.44493,-171.829,0.909994,
2238.72,97.631,3.06251,-171.923,-0.0770057,7.67977,6.02965,-172.423,0.0948211,
2290.87,97.1095,2.48303,-172.456,-0.0667945,7.15945,5.65011,-172.945,-0.684604,
2344.23,96.6469,1.93497,-172.929,-0.0583457,6.69801,5.302,-173.409,-1.4326,
2398.83,96.2334,1.41473,-173.35,-0.0512785,6.28572,4.9817,-173.824,-2.15278,
2454.71,95.8613,0.91924,-173.729,-0.0453094,5.91488,4.68614,-174.198,-2.84821,
2511.89,95.5245,0.445892,-174.072,-0.0402236,5.57932,4.41272,-174.536,-3.52149,
2570.4,95.2179,-0.00755136,-174.383,-0.0358566,5.27401,4.15921,-174.844,-4.17486,
2630.27,94.9375,-0.443028,-174.667,-0.03208,4.99485,3.92366,-175.126,-4.81027,
2691.53,94.6797,-0.862224,-174.927,-0.0287931,4.73843,3.70439,-175.385,-5.42938,
2754.23,94.4418,-1.26662,-175.167,-0.0259154,4.50191,3.49991,-175.624,-6.03369,
2818.38,94.2214,-1.6575,-175.388,-0.0233826,4.2829,3.30895,-175.846,-6.62449,
2884.03,94.0164,-2.03602,-175.594,-0.0211423,4.07937,3.13033,-176.053,-7.20293,
2951.21,93.8252,-2.40321,-175.785,-0.0191516,3.8896,2.96306,-176.246,-7.77002,
3019.95,93.6462,-2.75996,-175.964,-0.0173755,3.71212,2.8062,-176.426,-8.32668,
3090.3,93.4781,-3.1071,-176.131,-0.0157845,3.54563,2.65896,-176.596,-8.87371,
3162.28,93.32,-3.44535,-176.287,-0.0143543,3.38904,2.5206,-176.756,-9.41186,
3235.94,93.1707,-3.77538,-176.435,-0.0130643,3.24138,2.39046,-176.907,-9.94178,
3311.31,93.0294,-4.09778,-176.573,-0.0118971,3.10179,2.26794,-177.05,-10.4641,
3388.44,92.8955,-4.4131,-176.705,-0.010838,2.96954,2.1525,-177.186,-10.9793,
3467.37,92.7682,-4.72183,-176.829,-0.00987442,2.84398,2.04365,-177.315,-11.4879,
3548.13,92.647,-5.0244,-176.947,-0.00899544,2.7245,1.94094,-177.438,-11.9903,
3630.78,92.5313,-5.32125,-177.058,-0.00819175,2.61061,1.84395,-177.556,-12.487,
3715.35,92.4206,-5.61274,-177.165,-0.00745527,2.50183,1.75231,-177.669,-12.9784,
3801.89,92.3146,-5.89922,-177.266,-0.00677897,2.39775,1.66568,-177.777,-13.4647,
3890.45,92.213,-6.181,-177.363,-0.00615671,2.298,1.58374,-177.881,-13.9463,
3981.07,92.1152,-6.45838,-177.456,-0.00558311,2.20224,1.50619,-177.981,-14.4235,
4073.8,92.0211,-6.73164,-177.544,-0.00505345,2.11016,1.43276,-178.077,-14.8966,
4168.69,91.9304,-7.00101,-177.629,-0.00456357,2.0215,1.3632,-178.17,-15.3658,
4265.8,91.8427,-7.26673,-177.711,-0.00410979,1.936,1.29728,-178.26,-15.8313,
4365.16,91.758,-7.52902,-177.789,-0.00368883,1.85342,1.23478,-178.347,-16.2934,
4466.84,91.6759,-7.78808,-177.865,-0.00329779,1.77357,1.17551,-178.432,-16.7522,
4570.88,91.5963,-8.04409,-177.938,-0.00293408,1.69625,1.11928,-178.514,-17.208,
4677.35,91.519,-8.29723,-178.008,-0.00259538,1.62129,1.06591,-178.594,-17.6609,
4786.3,91.4438,-8.54765,-178.075,-0.00227961,1.54852,1.01525,-178.671,-18.1111,
4897.79,91.3707,-8.79551,-178.141,-0.0019849,1.4778,0.967129,-178.747,-18.5587,
5011.87,91.2994,-9.04095,-178.204,-0.00170959,1.40898,0.921422,-178.821,-19.0039,
5128.61,91.2298,-9.28409,-178.265,-0.00145213,1.34194,0.877993,-178.894,-19.4468,
5248.07,91.1618,-9.52508,-178.324,-0.00121118,1.27656,0.836717,-178.965,-19.8875,
5370.32,91.0953,-9.76401,-178.382,-0.000985481,1.21273,0.797479,-179.034,-20.3261,
5495.41,91.0301,-10.001,-178.438,-0.000773909,1.15035,0.760168,-179.102,-20.7628,
5623.41,90.9663,-10.2361,-178.492,-0.000575438,1.08932,0.724684,-179.169,-21.1976,
5754.4,90.9037,-10.4695,-178.545,-0.000389134,1.02955,0.690929,-179.235,-21.6306,
5888.44,90.8421,-10.7013,-178.596,-0.000214146,0.970949,0.658813,-179.3,-22.062,
6025.6,90.7816,-10.9315,-178.646,-4.96941e-05,0.913448,0.628251,-179.363,-22.4918,
6165.95,90.7221,-11.1601,-178.694,0.000104934,0.856969,0.599163,-179.426,-22.9201,
6309.57,90.6634,-11.3874,-178.742,0.00025039,0.801439,0.571472,-179.488,-23.3469,
6456.54,90.6056,-11.6133,-178.788,0.000387275,0.746793,0.545108,-179.55,-23.7724,
6606.93,90.5484,-11.838,-178.834,0.000516139,0.692967,0.520004,-179.611,-24.1966,
6760.83,90.492,-12.0614,-178.878,0.000637488,0.6399,0.496095,-179.671,-24.6195,
6918.31,90.4362,-12.2837,-178.921,0.000751789,0.587536,0.473321,-179.73,-25.0413,
7079.46,90.381,-12.5048,-178.963,0.000859471,0.535819,0.451627,-179.789,-25.4619,
7244.36,90.3262,-12.7249,-179.005,0.000960933,0.484698,0.430958,-179.848,-25.8815,
7413.1,90.272,-12.944,-179.046,0.00105654,0.434122,0.411263,-179.906,-26.3,
7585.78,90.2181,-13.1622,-179.085,0.00114663,0.384044,0.392494,-179.964,-26.7176,
7762.47,90.1646,-13.3794,-179.125,0.00123153,0.334418,0.374607,179.978,-27.1342,
7943.28,90.1115,-13.5958,-179.163,0.00131151,0.285199,0.357556,179.92,-27.5499,
8128.31,90.0586,-13.8114,-179.201,0.00138684,0.236344,0.341303,179.863,-27.9648,
8317.64,90.0059,-14.0261,-179.238,0.00145779,0.187813,0.325808,179.806,-28.3789,
8511.38,89.9534,-14.2401,-179.274,0.00152458,0.139566,0.311034,179.749,-28.7921,
8709.64,89.9011,-14.4534,-179.31,0.00158742,0.0915627,0.296946,179.692,-29.2046,
8912.51,89.8489,-14.666,-179.346,0.00164651,0.0437669,0.283512,179.635,-29.6164,
9120.11,89.7967,-14.8779,-179.381,0.00170204,-0.00385833,0.2707,179.577,-30.0274,
9332.54,89.7446,-15.0892,-179.415,0.00175418,-0.0513487,0.25848,179.52,-30.4379,
9549.93,89.6924,-15.2999,-179.449,0.00180309,-0.0987392,0.246824,179.463,-30.8476,
9772.37,89.6403,-15.51,-179.483,0.00184892,-0.146064,0.235705,179.405,-31.2567,
10000,89.588,-15.7195,-179.516,0.0018918,-0.193356,0.225097,179.348,-31.6653,
